id,order_number,portal,total_amount,created_at
ab9f4545-0083-4a0a-9cdd-1ae4ed9c06f0,"https://www.firstcry.com/get-it/get-it-100-cotton-multi-use-wedge-pregnancy-star-print-pillow-removable-cover-with-zip-pink-star/11261906/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
552e7391-263c-4257-80e9-c37f4d3abbc0,"186525MD3CEC8D",firstcry,0,2026-05-15T12:48:43.476923+00:00
3e247c3d-da1c-4f7b-a135-81daab374849,"41046731ASG775426A",firstcry,0,2026-05-15T12:48:45.714042+00:00
72cce34b-5f6b-4d07-af2c-cfe5831ad29b,"17845694VVP14F2F72",firstcry,0,2026-05-15T12:48:45.448052+00:00
6858ce5c-2794-4dcd-974e-716f6d4db98f,"https://www.firstcry.com/get-it/get-it-100-cotton-double-wedge-pregnancy-pillow-with-quilted-cover-removable-cover-with-zip-purple/1417811/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
4481c441-bcad-4c90-8ee1-310f76f7ed6b,"https://www.firstcry.com/get-it/get-it-100-cotton-multi-use-wedge-pregnancy-star-print-pillow-removable-cover-with-zip-cryan-blue-heart/11261908/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
d39eeecb-ed3f-4c59-a9ea-03c27575dc16,"13856915EOVE6A27EF",firstcry,0,2026-05-15T12:48:44.622613+00:00
fe9b7160-0fc9-411e-bf02-b5d56d830eeb,"https://www.firstcry.com/get-it/get-it-organic-cotton-head-shaping-pillow-with-blooster-for-infants-and-toddlers-star-print-pink-star/11261917/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
9c1a9053-cc15-44e9-bc91-8b73f2a7ec1e,"https://www.firstcry.com/get-it/get-it-100-cotton-long-maternity-pillow-6ft-height-for-comfortable-ajustable-poistion-to-support-back-pain-and-stomach-blue/2822753/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
bb8f2605-7700-411a-87c0-e3f7849c379b,"https://www.firstcry.com/get-it/get-it-100-cotton-multi-use-wedge-pregnancy-star-print-pillow-removable-cover-with-zip-cryan-blue-star/11261907/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
