Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,11/01/2025,11/30/2025,B09SYZ34Z2,B09SYZ34Z2,,Pink Star Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLF1PDY,,PLRP221,INR,1332.38,2,0,2,2664.76,2664.76,76.7,2.0,153.4,,,,143.96,2.0,287.92,,,,181.59,2.0,363.18,2.718,20.0,54.36,,,1805.9,902.95
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLGFCSM,,PLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLFGFBV,,PLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S8ZBK,B09WLF9LY8,,PMW227,INR,476.313099,71,16,55,33818.23,26214.39,82.6,13.0,1073.8,,,,75.952113,71.0,5392.6,-58.88,14.0,-824.32,41.216,70.0,2885.12,4.938485,66.0,325.94,,,16425.51,298.645636
IN,11/01/2025,11/30/2025,B09WLF2CQ3,B09WLF2CQ3,,POW227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5SFDJY,B07P3JZXR9,,PPELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLGWFPN,,PPLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLHP754,,PPLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLFN31B,,PPLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,3.0,1.0,3.0,,,-3.0,
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07NY3L66L,,ppRFP221,INR,569.52,2,1,1,1139.04,569.52,40.12,2.0,80.24,,,,143.96,2.0,287.92,-56.45,1.0,-56.45,28.225,2.0,56.45,2.863611,36.0,103.09,,,98.27,98.27
IN,11/01/2025,11/30/2025,B07NLFJP55,B07NLFJP55,,PPRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07NY3MQH1,,PPWFFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S8ZBK,B09WLDWSVQ,,PRBW227,INR,475.24,26,9,17,12356.24,8079.08,82.6,6.0,495.6,,,,72.907143,28.0,2041.4,-58.88,7.0,-412.16,40.763077,26.0,1059.84,5.014444,54.0,270.78,,,4286.14,252.125882
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07NZ293RN,,PRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,3.0,1.0,3.0,,,-3.0,
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07P13KR4W,,PRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
